Gender,HoursStudied/Week,Tutoring,Region,Attendance(%),Parent Education,Exam_Score
Female,5.2,No,Rural,97.1,Primary,56.3
Male,6.1,No,Urban,58.7,Secondary,42.9
Male,6.8,No,Rural,63.6,Tertiary,50.7
Male,14.6,No,Rural,61.2,Primary,74.9
Male,13.2,Yes,Urban,99.5,Tertiary,100
Male,14.9,No,Urban,94,Tertiary,100
Female,3.7,No,Rural,86.9,Primary,49.8
Female,12.8,No,Urban,70.6,Primary,72.1
Male,11.1,No,Rural,65.3,Secondary,68.8
Male,16,No,Urban,82.3,Secondary,94.9
Male,14.2,No,Urban,98.3,Tertiary,92.4
Male,9.9,No,Urban,88.5,Tertiary,77.2
Female,9.5,No,Urban,69.3,Secondary,71
Female,11.4,No,Urban,80.7,None,80.4
Male,4.5,No,Urban,51.9,None,38.5
Male,4.3,Yes,Rural,88.2,Secondary,61.3
Female,9,No,Rural,57,Secondary,61.6
Male,12.6,No,Rural,64.3,Tertiary,75.6
Female,11.7,Yes,Urban,80.9,Secondary,96.5
Female,11.2,No,Rural,70.9,Primary,70.3
Female,9.4,No,Urban,85.9,Secondary,66.7
Female,13.8,Yes,Rural,61.8,None,77.7
Female,9.5,Yes,Urban,54.9,Primary,70.5
Female,6.7,No,Urban,72.8,Secondary,60.8
Female,5,Yes,Urban,61.2,Secondary,64.9
Female,8.1,No,Rural,59.1,Primary,57.5
Female,5.3,No,Rural,94.8,Secondary,51.3
Female,6.6,No,Urban,82.8,Primary,56.6
Female,4.4,No,Rural,89.1,Tertiary,52.6
Male,14.1,Yes,Urban,97.4,Secondary,100
Male,6.5,No,Urban,50.1,Secondary,42.1
Female,7.9,Yes,Urban,60.4,Primary,79.2
Female,12.2,No,Urban,96,Tertiary,89.5
Female,4.1,Yes,Urban,70,Primary,59.8
Female,5.7,No,Rural,97.1,Tertiary,63.6
Male,16,No,Urban,84.2,Tertiary,92.7
Male,6.6,No,Rural,83.4,Tertiary,48
Female,12,No,Urban,69.5,Tertiary,74.4
Male,16,No,Rural,70.4,Secondary,81.4
Male,12.5,No,Urban,83.5,Secondary,80
Female,11.7,No,Urban,88.5,Secondary,76.8
Male,16,No,Urban,57,Primary,80.1
Female,6.7,No,Rural,94.1,Tertiary,65
Male,2.8,No,Rural,86.1,Secondary,43.3
Female,7.4,No,Urban,93.4,Primary,65.5
Male,7,No,Urban,70,None,47.1
Male,10,Yes,Rural,56.9,Secondary,79.4
Female,7.5,No,Urban,68,Primary,52
Male,13.7,Yes,Urban,56.4,Tertiary,93.9
Male,12.5,No,Urban,75.2,Tertiary,76.4
Male,4.8,Yes,Rural,52.7,Primary,55.8
Male,13.3,No,Urban,88.6,Secondary,80.8
Male,9.6,Yes,Rural,68.1,Tertiary,77.9
Female,0.2,Yes,Rural,60.6,Tertiary,42.3
Male,12.8,No,Urban,87.1,Tertiary,83.3
Female,3.4,No,Urban,51.3,Primary,41.3
Male,15.8,Yes,Rural,53.2,Tertiary,100
Male,9.9,No,Urban,77.7,Secondary,60.1
Female,9.1,No,Urban,53.1,Tertiary,53.7
Female,13.2,No,Urban,76.6,Primary,80.3
Female,10.4,Yes,Rural,98.3,Secondary,93.4
Female,14.2,No,Rural,69.3,Secondary,83.2
Male,12.3,No,Urban,85.1,Primary,67.4
Male,8.6,No,Urban,65.9,Secondary,54.4
Female,16,No,Urban,92.4,Tertiary,99.5
Male,0.7,No,Urban,99.3,Secondary,37.7
Female,7.5,No,Rural,89.8,Primary,67.3
Female,6,No,Urban,80.5,Secondary,56.6
Female,8.7,No,Urban,99.3,Secondary,77.5
Female,10.6,No,Urban,94.5,Secondary,76.1
Male,10,No,Urban,90.8,Secondary,76.1
Male,15.2,No,Urban,86.5,Tertiary,91.4
Female,10.5,Yes,Urban,53.3,Secondary,80.3
Male,13.3,No,Urban,96.3,Tertiary,90
Male,7.2,No,Urban,52.4,Tertiary,51.1
Female,7,No,Urban,96,Secondary,56
Female,10.9,Yes,Urban,74.2,None,75.4
Female,9.9,No,Urban,98.2,Tertiary,81.8
Male,14.6,No,Urban,53.1,Tertiary,80.9
Male,8,No,Rural,72.5,Secondary,54.4
Male,12.7,No,Rural,93.8,Primary,82.3
Female,10.5,No,Urban,67.9,Tertiary,65.9
Female,15.3,No,Urban,97.1,Primary,96.1
Male,9.8,No,Rural,51.4,Tertiary,66.4
Female,10.3,No,Urban,68.6,Tertiary,71.6
Male,14.5,No,Urban,51.6,Secondary,77.8
Male,4.6,No,Urban,85.2,Primary,47.3
Male,12.3,Yes,Rural,70,Tertiary,92.1
Female,8.7,No,Urban,54.2,Primary,57.3
Female,7.4,No,Rural,72.9,Secondary,62
Male,13.8,No,Urban,79.5,Secondary,84.5
Female,8.6,No,Urban,90.2,Secondary,61.4
Male,12.1,No,Urban,67.6,Secondary,74.1
Female,16,Yes,Rural,91.1,None,100
Male,14.8,No,Urban,89.8,Tertiary,84.4
Male,16,Yes,Urban,93.3,None,100
Female,6.1,No,Rural,82.9,Tertiary,51.1
Male,3,No,Urban,63.4,Tertiary,45.3
Male,11.3,No,Urban,99.2,Tertiary,83.1
Male,14.8,No,Urban,97.4,Secondary,91.1
Male,11.1,No,Rural,54.6,Primary,57.2
Male,0,No,Urban,76,None,31
Female,11,No,Urban,53.3,Secondary,72.7
Female,9.9,No,Rural,84.9,Primary,65.1
Female,13.4,No,Urban,83.3,Primary,79.3
Female,4.3,Yes,Rural,50.9,Primary,53.3
Female,14,No,Urban,91.9,Primary,82.4
Female,4.2,No,Urban,60,Primary,39.1
Female,5.1,Yes,Urban,52.9,Secondary,66.9
Female,0,Yes,Urban,62,Secondary,41.9
Male,16,No,Rural,91.5,Secondary,84.5
Male,0.5,Yes,Rural,65.6,Secondary,36.5
Male,13.5,No,Urban,95.5,Tertiary,94.5
Male,9.3,Yes,Urban,67.1,None,75.2
Female,8.7,No,Urban,80.6,Secondary,65.1
Female,15.3,No,Rural,86.8,Secondary,97.3
Female,12.1,No,Urban,98.5,Tertiary,81.7
Female,12.3,No,Urban,91.8,Primary,82.7
Male,16,No,Rural,91.8,Secondary,89.7
Female,15.3,No,Rural,59.5,Primary,84.7
Male,16,No,Rural,53.6,Primary,79
Male,5.5,Yes,Urban,70.7,Secondary,63.8
Female,2.8,No,Urban,76,None,36.6
Female,10.3,No,Rural,65,Tertiary,67.7
Female,11,No,Urban,77.6,Tertiary,82.4
Male,11,No,Rural,78.7,None,64.6
Female,12.7,No,Urban,69.4,Secondary,86.6
Female,11,No,Urban,80,Secondary,72
Female,9.3,No,Urban,70.3,Tertiary,63.6
Male,12.2,No,Urban,64.2,Secondary,69.7
Female,9.3,No,Urban,63.1,Secondary,52.9
Female,12.6,No,Rural,62.1,Secondary,73.6
Female,14.9,No,Rural,52.4,Primary,78.2
Female,0.8,No,Rural,60.1,Primary,24
Female,8.8,No,Rural,86.1,Primary,71.6
Male,12.6,No,Urban,98.8,Secondary,88.8
Male,6,No,Rural,93.5,Primary,56.2
Female,16,No,Urban,66.3,Primary,83.2
Male,14,Yes,Urban,95.2,Secondary,100
Male,11.9,Yes,Urban,85.7,Secondary,86.5
Male,5.4,No,Urban,76.2,None,43.4
Female,7,No,Urban,69.4,Tertiary,45.7
Male,9,Yes,Urban,52.9,None,71.5
Female,13.8,No,Rural,89.6,Secondary,70.6
Male,13.2,No,Rural,97.4,Tertiary,81.8
Female,16,No,Urban,78.3,Secondary,92.8
Male,9.5,No,Rural,83.5,None,56.3
Female,5.9,No,Rural,55.6,Primary,38
Female,10,No,Urban,70.7,Primary,66
Male,4.7,No,Rural,73.7,Secondary,49.6
Female,14.7,Yes,Rural,57.9,Primary,91.8
Male,6.2,No,Urban,84,Tertiary,53
Male,12.7,No,Rural,95.4,Secondary,85.7
Male,14,No,Urban,75.3,Secondary,76.1
Female,6.7,No,Urban,93.2,None,52.1
Male,5.8,Yes,Urban,81.4,Secondary,72.8
Female,2.4,Yes,Rural,72.4,Primary,52.5
Male,10.2,No,Urban,74.8,Primary,61.3
Female,11,No,Rural,86.4,Primary,67.7
Female,10.4,No,Urban,51.9,None,55.2
Male,10.7,No,Urban,66.8,Tertiary,70.6
Female,8.8,No,Urban,83.8,Primary,62.4
Female,2.6,Yes,Urban,84.4,Secondary,60.5
Male,7.4,No,Rural,60.9,Primary,47.9
Female,4.5,No,Urban,59.9,Primary,49.4
Female,8.8,No,Urban,91.4,Primary,67.4
Female,7.6,No,Rural,79.7,Secondary,43
Female,6,No,Urban,70.1,Tertiary,62.5
Female,5.8,Yes,Urban,55.6,Secondary,59.9
Male,6.7,Yes,Rural,74.4,Secondary,65.1
Male,4.8,Yes,Rural,86.4,Tertiary,56.3
Female,11.8,Yes,Rural,65.1,Primary,82.8
Female,14.6,No,Rural,92.2,Tertiary,86.5
Female,7.9,No,Rural,57.8,Primary,51.7
Female,11.7,Yes,Urban,58,None,82.1
Male,13.9,No,Urban,53.7,Secondary,75
Female,16,No,Urban,90.8,Primary,90.7
Male,5.9,No,Urban,64.2,Secondary,52.2
Male,12.3,No,Urban,86.2,Primary,74.9
Female,7.6,No,Rural,73.6,Tertiary,57.5
Male,12,No,Urban,88.1,Tertiary,77.7
Female,9.8,Yes,Urban,76.7,Secondary,88.1
Male,13,No,Rural,53.2,Tertiary,81.1
Female,4.7,No,Urban,69.4,Secondary,40.8
Female,8.3,Yes,Urban,71.8,Tertiary,79.3
Male,12.4,No,Urban,64.9,Tertiary,82.7
Female,9.8,No,Rural,75.7,Secondary,68
Female,8.5,Yes,Urban,55.8,Tertiary,75.3
Male,4,No,Rural,66.2,None,31.8
Female,10.3,Yes,Rural,96.7,Primary,81.3
Male,12.5,No,Urban,99.6,Primary,81.3
Male,13.3,No,Urban,73.2,Secondary,85.3
Male,11.3,No,Rural,71.3,Primary,62.2
Male,10.2,Yes,Urban,73.6,Primary,75
Female,2.2,No,Urban,75.5,Primary,48.7
Male,16,No,Urban,72.5,Tertiary,92
Male,2.1,Yes,Urban,85.8,Tertiary,55.5
Female,7.7,No,Urban,85.8,Tertiary,62.9
Male,12.7,No,Urban,56.2,Secondary,74.6
Male,12.4,No,Rural,58.5,Secondary,69
Male,4.8,Yes,Urban,76.8,Secondary,66.3
Female,11,Yes,Urban,83.4,Secondary,83.1
Male,13.7,No,Urban,68,Primary,72.6
Female,11.8,Yes,Urban,94.6,Primary,97.3
Male,15.1,Yes,Urban,54.8,Primary,99.4
Male,10.4,No,Rural,82.8,Tertiary,74.2
Male,14.9,No,Rural,58.3,Secondary,84.9
Male,7.8,Yes,Rural,91.4,Primary,75.8
Female,8,No,Urban,76.8,Secondary,59.7
Female,12.5,No,Urban,76.4,Secondary,74.2
Female,11.5,No,Urban,80.3,None,65
Male,14.5,Yes,Urban,85.3,Tertiary,100
Male,16,Yes,Urban,97.7,Secondary,100
Female,0.7,Yes,Rural,87.4,Secondary,52.6
Female,12.4,No,Urban,64.9,Primary,80.6
Male,3.3,No,Urban,72.3,Secondary,44.7
Female,4.5,Yes,Rural,68,Primary,49.2
Female,5.4,No,Urban,81.3,Secondary,52.6
Male,8.2,No,Urban,69.6,Primary,59.2
Female,8.8,Yes,Rural,52.1,Primary,66.3
Female,5.6,No,Rural,96.2,Secondary,61.3
Male,15,No,Urban,70.3,Secondary,79.9
Female,10.6,Yes,Rural,97.2,Tertiary,83.9
Male,4.4,No,Urban,86.1,Primary,47.3
Female,6.7,Yes,Urban,95.9,Secondary,74
Female,8.9,Yes,Rural,91.2,Secondary,74.4
Male,16,No,Rural,82.3,Tertiary,87.8
Male,6.8,Yes,Rural,53.4,Primary,57.6
Male,5.6,Yes,Rural,91.9,Primary,68.1
Male,16,No,Rural,84.6,Tertiary,94.8
Female,8.4,Yes,Urban,97.9,Tertiary,88.9
Female,8.1,Yes,Rural,57.1,Secondary,76.2
Male,9.4,No,Urban,54.4,None,58.7
Male,7.4,No,Urban,75.9,Secondary,57.3
Female,11.1,Yes,Rural,68,Secondary,87.2
Female,10,No,Rural,98,Tertiary,79.5
Male,9.6,Yes,Rural,85.2,Secondary,83.1
Male,10.6,No,Rural,72.3,Secondary,62.4
Male,11.4,No,Urban,59.6,Tertiary,71.8
Female,0,No,Rural,72.1,Tertiary,28.6
Male,4,No,Rural,73.3,Secondary,36
Female,11.7,No,Rural,50.5,Primary,69.9
Male,13.3,Yes,Urban,62.9,Tertiary,96.7
Male,4,No,Urban,62.3,Secondary,43.3
Female,15,No,Rural,69.1,None,83.8
Male,6.3,Yes,Urban,71.2,Tertiary,77.5
Male,6.1,No,Urban,63.4,Secondary,49.2
Male,7.3,No,Urban,55.6,Secondary,41.6
Female,6.1,No,Rural,56.9,Secondary,46.8
Female,10.4,Yes,Urban,84.4,Secondary,86.6
Male,16,No,Urban,97.8,Tertiary,100
Male,8.7,No,Rural,67.2,None,51.7
Male,3.8,Yes,Urban,57.1,Secondary,49.4
Female,13.1,No,Urban,63,None,68.7
Male,9.7,No,Rural,57.6,Tertiary,66.5
Male,12.9,No,Rural,59.7,Tertiary,81.6
Female,6.6,No,Urban,83.1,Primary,70.6
Male,11.7,Yes,Urban,69.2,Tertiary,94.7
Female,7.1,Yes,Rural,62.5,Secondary,58.7
Male,8,Yes,Urban,79.1,Secondary,81.5
Male,7.1,No,Urban,94.9,Tertiary,60.3
Female,10.8,No,Urban,51.2,Primary,66.6
Female,2.7,Yes,Rural,79.8,Secondary,55.2
Male,3.8,No,Urban,83.6,Secondary,46.6
Male,8.2,No,Rural,71.7,Secondary,53.3
Female,8.2,Yes,Urban,96,Tertiary,93.6
Female,10.8,Yes,Urban,58.5,Secondary,84
Female,1.8,No,Urban,50.6,Secondary,31.3
Male,16,No,Rural,92,Primary,92
Male,13.3,No,Urban,69.8,Tertiary,85.8
Male,8.4,No,Rural,91.5,None,53.1
Male,15,No,Urban,99.8,Secondary,92.7
Male,15.4,Yes,Urban,55.8,Secondary,94.4
Female,1.6,No,Rural,91.6,Primary,30.9
Male,11.3,No,Rural,88,Primary,76.3
Male,15.4,Yes,Urban,88.8,Secondary,100
Male,9.5,No,Rural,72,Primary,58.9
Male,9.6,No,Urban,80.5,Tertiary,65.4
Male,7.4,Yes,Urban,62.4,Secondary,73.6
Female,11.9,No,Rural,51.6,None,53.6
Female,10.4,No,Rural,86.4,Tertiary,72.9
Female,9.1,No,Urban,56.9,Tertiary,55.6
Female,15.6,No,Urban,65,Tertiary,90.4
Female,8.1,No,Rural,52.7,Secondary,52.8
Male,6.6,No,Urban,78.3,Tertiary,53.7
Male,16,No,Urban,92.9,Tertiary,92.6
Female,9.5,No,Urban,53.6,Secondary,64.6
Female,8.6,Yes,Urban,69.6,Tertiary,76
Female,12,No,Urban,91.6,Primary,85.7
Female,10.9,Yes,Rural,88.7,Secondary,93
Female,4.7,Yes,Urban,60.7,Tertiary,68.9
Female,14.7,No,Rural,62.6,Secondary,74.2
Female,10.7,No,Urban,81.6,Tertiary,84.6
Female,9.8,Yes,Rural,62,Secondary,76.5
Male,11.2,No,Rural,67.2,Secondary,59.9
Male,6.6,Yes,Urban,89,Secondary,68.3
Male,8.9,No,Rural,80.8,Tertiary,59
Female,11.7,No,Urban,55.3,Tertiary,69
Female,12.4,No,Urban,69.3,Secondary,77.8
Female,7.5,No,Urban,59.9,None,49.4
Female,10.5,Yes,Urban,77.3,Primary,87.5
Male,9.6,No,Urban,97.4,Primary,73
Male,13.6,No,Rural,75,Secondary,76
Female,11.4,Yes,Urban,91.7,Tertiary,97.4
Male,11.3,No,Urban,84,Tertiary,80.9
Female,12.7,No,Urban,73,Secondary,83.5
Female,11.5,Yes,Rural,95.7,Secondary,95
Female,4.8,No,Rural,98.6,None,57
Female,16,No,Urban,97.3,Tertiary,100
Female,8.7,Yes,Urban,93.9,Secondary,80.6
Male,9.6,No,Rural,87,None,57.9
Male,9.8,No,Urban,95.9,Tertiary,76.6
Male,4.3,No,Rural,59.7,Secondary,43.3
Male,7.6,No,Urban,93.6,Secondary,70.2
Female,11.8,No,Urban,75,Secondary,78.3
Male,9.4,No,Urban,57.3,Tertiary,57.7
Male,9.3,No,Urban,74.7,Tertiary,69.5
Male,11.5,No,Urban,51.9,Secondary,63.7
Male,6.6,No,Urban,95.3,Primary,59.1
Female,7.7,Yes,Rural,62.9,Secondary,70.8
Female,16,No,Urban,63.3,None,70.2
Female,7.2,No,Rural,72.2,Secondary,49
Female,8.9,Yes,Rural,59.5,None,76.6
Female,5.9,No,Urban,96.3,Primary,63.6
Male,15.3,No,Urban,84.5,Tertiary,97.3
Female,11.1,Yes,Urban,83.9,Primary,82.5
Male,12.9,No,Urban,95.8,Tertiary,75.6
Male,8.9,No,Urban,56.6,Secondary,60.2
Female,9.8,Yes,Rural,63,Secondary,75.5
Female,9.7,No,Urban,83.3,Tertiary,86
Female,6.9,No,Urban,84.4,Secondary,61.5
Female,3,No,Rural,91.7,Tertiary,42.3
Female,15.3,Yes,Rural,86.4,Primary,100
Male,13.6,Yes,Rural,52.1,Tertiary,90.1
Male,15.2,No,Urban,81.2,Primary,91.2
Female,4.5,No,Rural,89.3,Secondary,51.5
Male,10.1,No,Urban,93.4,Primary,79.7
Male,11.3,Yes,Urban,93.6,None,84.6
Female,12.5,No,Rural,59.7,Secondary,75.2
Female,15.4,No,Rural,62.2,Primary,90.1
Female,9.9,Yes,Rural,80.2,Secondary,75.8
Male,16,No,Rural,73.3,Primary,71.8
Male,2.3,No,Rural,68,None,31.7
Female,12,No,Urban,98.3,Tertiary,100
Female,5.9,No,Rural,60.7,Secondary,44
Male,12.5,Yes,Rural,92.6,Primary,85.4
Male,16,No,Rural,80.3,Tertiary,91
Male,7.4,Yes,Rural,84.8,Secondary,76.5
Female,15.7,No,Rural,88.7,Secondary,96.7
Female,10.3,No,Urban,73.6,Tertiary,78.7
Male,16,No,Rural,98.7,Primary,94
Female,12.7,No,Rural,74,Primary,72.6
Male,8.2,No,Rural,64.1,Tertiary,66.9
Female,10.6,No,Rural,95.3,Secondary,67.6
Male,7.2,No,Urban,74.2,Secondary,50
Female,12.9,No,Rural,96.4,Primary,82
Female,7.1,Yes,Urban,76.5,Secondary,72.5
Female,8.5,No,Urban,61.3,Secondary,57.8
Female,0,No,Rural,67.2,Secondary,33.2
Male,6.5,No,Urban,99.1,Secondary,62.2
Male,6.7,No,Rural,60.5,Secondary,47.1
Male,14.9,Yes,Urban,68.1,Secondary,100
Female,13.4,No,Urban,64.4,Primary,80.2
Female,11.4,No,Urban,85.8,Secondary,88.8
Female,10.9,No,Rural,61.6,Tertiary,67.6
Female,13.7,No,Rural,91.6,None,84.3
Male,10,Yes,Rural,97.9,Secondary,82.5
Male,16,Yes,Urban,70.8,Tertiary,100
Male,11.6,No,Rural,74.7,Secondary,71
Male,8,Yes,Rural,89.3,Tertiary,71.6
Male,13.4,Yes,Urban,72.1,None,93.3
Male,10.1,Yes,Rural,53.5,Primary,64.8
Female,14.3,No,Urban,77.2,Secondary,79.2
Female,15.6,No,Urban,76.1,None,91
Male,3.6,Yes,Urban,71,Secondary,59.9
Female,10.1,No,Urban,64.5,Secondary,65.9
Male,13.4,No,Rural,62.2,Secondary,75
Male,3.7,No,Urban,76.8,Secondary,50.8
Female,8.8,No,Urban,57.8,Tertiary,64.5
Male,6.9,Yes,Rural,56.5,Secondary,59.3
Female,13.3,No,Urban,74.5,Primary,85.5
Male,6.1,Yes,Rural,68.3,Secondary,61.5
Male,9.5,No,Urban,89.1,Primary,67.2
Male,5.3,No,Rural,69.6,Primary,41.8
Male,15,Yes,Urban,95.4,Secondary,100
Female,11.6,No,Rural,57.7,Secondary,67.1
Male,9.3,No,Urban,95.6,Primary,68
Male,3.8,No,Urban,58.8,Secondary,38.4
Female,10.3,Yes,Urban,61.5,Tertiary,79
Female,12.8,No,Urban,60.7,Primary,71.6
Male,10.1,No,Urban,89.2,None,67.9
Male,10.8,No,Rural,71,Primary,72.2
Female,11,No,Urban,92.6,Tertiary,75.2
Male,2.7,No,Urban,82.8,None,43
Female,5.3,No,Rural,55.4,Primary,45.4
Male,6,No,Urban,51.3,Primary,47.2
Female,12.4,Yes,Rural,79.5,Tertiary,96.8
Male,10.8,No,Urban,94.7,Tertiary,77.2
Female,7.3,No,Rural,61.2,Secondary,47.1
Female,4.6,Yes,Rural,72.3,None,60.6
Female,12.9,No,Urban,52.2,Secondary,70.2
Male,9.2,No,Urban,74.2,Tertiary,67.3
Female,0,No,Urban,90,Primary,32.6
Male,4.9,Yes,Urban,74,Primary,53.5
Female,16,Yes,Urban,71.7,Secondary,94.2
Female,10.6,No,Urban,62.2,Secondary,73.7
Male,4.4,No,Rural,76.7,Tertiary,47.6
Male,15.6,Yes,Urban,92,Tertiary,100
Male,10.3,No,Urban,77.4,Tertiary,70.9
Female,14.4,Yes,Urban,64.7,Secondary,92.2
Female,6.5,Yes,Urban,89.4,Secondary,77.3
Male,16,No,Urban,55.5,Secondary,87.2
Male,9.6,No,Rural,51.8,Primary,57.2
Male,8.8,No,Urban,59.9,Primary,53.1
Male,7.2,No,Urban,76.5,Tertiary,62.6
Male,8.4,Yes,Urban,64.8,Tertiary,75.1
Male,7.2,Yes,Urban,84.1,Secondary,71.5
Female,16,No,Urban,92.1,Secondary,100
Male,7.8,No,Urban,65.9,Secondary,61.2
Male,14,No,Urban,87.6,Secondary,88.6
Male,12.9,Yes,Urban,62.2,Primary,85
Male,8.5,Yes,Urban,91.1,Primary,72.1
Female,6.1,Yes,Urban,96.2,Tertiary,81.1
Male,9.7,No,Urban,70,Secondary,58.1
Male,14.5,Yes,Urban,54.4,Tertiary,97.8
Male,12.6,No,Urban,70.2,Primary,76.7
Female,14.9,No,Rural,68.7,Tertiary,90.7
Female,14.5,No,Urban,75.5,Tertiary,88.4
Male,6.4,No,Urban,74.9,Secondary,66.6
Female,9.9,Yes,Rural,93.7,Secondary,83.8
Male,16,Yes,Urban,81,Tertiary,100
Male,2,Yes,Rural,53.8,Secondary,52.5
Male,9.9,No,Urban,82.8,Secondary,67.3
Female,10.9,No,Urban,89.3,Tertiary,79.2
Male,13.8,No,Rural,57.7,Tertiary,77.4
Male,11.7,No,Urban,60.6,None,62.1
Male,5.3,No,Rural,95.5,Tertiary,55
Female,9.2,Yes,Urban,97.7,Tertiary,100
Female,13.8,No,Urban,54.8,Secondary,72.9
Female,16,No,Urban,96.3,None,95.9
Male,13.2,Yes,Rural,100,Tertiary,98
Male,7.8,No,Urban,73.3,Secondary,48.7
Female,7.3,No,Urban,91.5,Tertiary,76.9
Male,7.2,Yes,Rural,59.7,Primary,60.9
Female,4.4,No,Rural,73.9,Secondary,48.1
Female,7.8,No,Rural,55.6,None,35.5
Male,11.3,Yes,Rural,85,Secondary,87.4
Male,15.6,No,Urban,69.1,Primary,73.8
Male,9.7,Yes,Urban,57.3,Secondary,82.4
Male,11,No,Urban,61.1,Tertiary,65.8
Male,12,Yes,Rural,56.6,Primary,85.1
Male,11.3,No,Urban,67.6,Primary,71
Male,15.9,No,Urban,92.2,Primary,91
Male,14.2,No,Rural,73.2,Primary,78.4
Female,8,No,Rural,83.5,Tertiary,57.5
Male,0,No,Urban,97.8,Secondary,30.9
Female,4.4,No,Rural,84.8,Primary,48.6
Male,11.6,No,Urban,62.1,Primary,69.4
Female,10.5,No,Rural,54.1,Secondary,65.2
Male,12.4,No,Rural,91.1,Primary,76
Male,7.4,No,Urban,64,Secondary,44.5
Male,14.3,Yes,Rural,81.4,Secondary,100
Female,13.9,No,Urban,95.9,Tertiary,93
Male,13.8,Yes,Urban,76.3,Secondary,92
Female,6.4,Yes,Urban,75.8,Primary,73.5
Female,5.8,No,Rural,69.1,Primary,50.3
Male,9.5,Yes,Rural,74.4,Tertiary,78.7
Male,6.2,No,Urban,83.8,Tertiary,47.8
Male,9.1,No,Urban,81,None,66.7
Female,4.4,No,Urban,93.5,None,53.6
Male,16,No,Rural,99.5,Secondary,100
Female,6.5,Yes,Urban,71,Tertiary,72.9
Female,8.3,No,Urban,99,Tertiary,64.6
Female,4.9,No,Rural,83.2,Primary,53.7
Male,11.7,No,Urban,87,Tertiary,75.8
Female,14.7,No,Urban,69.7,Secondary,84.8
Male,16,No,Urban,85.6,Secondary,87.4
Male,5.4,No,Rural,91.6,Secondary,49.2
Male,16,No,Rural,80.1,Primary,81.7
Male,15.2,No,Urban,55.9,Tertiary,89.4
Male,9.3,No,Rural,79.2,Secondary,63.3
Female,8.2,No,Urban,61.4,None,48.3
Male,10.2,Yes,Urban,70.8,Tertiary,87
Male,12,Yes,Urban,72.4,Secondary,87
Male,16,No,Urban,85.2,None,86.4
Female,8.4,No,Rural,71,Tertiary,66.7
Female,12.8,No,Urban,75.2,Tertiary,80.8
Male,10.5,No,Rural,55.8,Secondary,57.3
Female,12.8,Yes,Urban,84.1,Secondary,100
Male,10.6,Yes,Urban,53.1,Primary,74
Female,14.8,Yes,Urban,65.6,Secondary,96.6
Male,9.3,No,Urban,83.3,Primary,71.8
Female,13.7,Yes,Urban,65.1,Primary,96.4
Female,6.8,Yes,Urban,50.4,Tertiary,68.2
Male,7.4,No,Rural,72.2,None,50.5
Female,14.6,No,Rural,82.5,Secondary,78.6
Male,5.8,No,Urban,92.3,Secondary,48.1
Female,13,No,Urban,94.5,Secondary,81.7
Male,9.4,No,Urban,62.3,Primary,61
Male,4.5,Yes,Urban,97.7,Tertiary,76.1
Female,16,Yes,Urban,68.6,Primary,100
Male,4.2,No,Urban,52.2,Secondary,35.4
Male,9.7,No,Urban,65.5,Tertiary,57.8
Male,8.1,No,Rural,58.8,Tertiary,60.6
Female,6.7,Yes,Urban,63.6,Secondary,70.9
Male,13.6,No,Urban,77.7,Secondary,84.3
Female,9.2,Yes,Urban,79.8,Secondary,81.4
Male,7.3,No,Urban,57.6,Secondary,51.4
Male,14.5,No,Urban,69.7,Secondary,77.3
Male,10.9,No,Urban,81,Secondary,74.2
Female,5.9,No,Urban,76.2,None,48.3
Male,9.2,No,Urban,77.9,Primary,59.3
Male,1.1,No,Rural,95.7,Secondary,37.2
Female,10.8,No,Urban,85.8,Primary,80.9
Female,10.2,No,Rural,65.1,Primary,63
Female,15.4,No,Rural,74.1,Primary,92.3
Male,11.9,Yes,Rural,55,Secondary,86.8
Female,7.1,No,Urban,64.9,Secondary,47.9
Male,6,No,Urban,96.9,Secondary,57.6
Female,12.4,No,Rural,84.7,Tertiary,72.6
Female,2.7,No,Rural,99.6,Secondary,46.3
Female,11,No,Rural,70.9,Primary,62.3
Female,10.9,No,Urban,76.3,Primary,67.3
Female,16,No,Urban,98.2,Primary,96
Male,4.3,No,Rural,81.1,Tertiary,47.4
Male,8.5,No,Urban,72.9,Secondary,58.3
Female,16,Yes,Rural,86.5,Primary,96.5
Male,10.8,No,Urban,81.2,Tertiary,74.6
Female,12.6,No,Rural,98.5,Secondary,74.6
Male,11.6,Yes,Rural,97.8,Secondary,94.2
Male,9.1,No,Urban,89.8,Tertiary,63.4
Female,7,No,Urban,62.7,Secondary,53.9
Female,9.6,Yes,Urban,79.6,Secondary,83.9
Male,14.3,No,Rural,96.9,Tertiary,95.5
Male,8.9,No,Rural,50.1,Tertiary,51
Male,7.7,No,Rural,55.3,Secondary,52.9
Female,6.8,No,Rural,73.4,Secondary,46.7
Female,3.3,Yes,Urban,82.3,Secondary,60.6
Male,6.6,No,Urban,56.4,Primary,42.7
Male,11.3,Yes,Urban,66.7,Primary,75.4
Male,6.1,No,Rural,50.7,Secondary,45.7
Male,10.2,Yes,Urban,87.4,None,90
Male,7.9,Yes,Urban,60.1,Tertiary,80
Male,5.6,No,Urban,91.9,Tertiary,56.3
Female,10.7,No,Urban,78.1,Tertiary,74.5
Female,16,No,Urban,81.9,Tertiary,93.3
Female,0.6,No,Rural,59,Tertiary,41.7
Female,4.7,No,Urban,59.3,Secondary,47.8
